Department,Department Name,Division,Gender,Base Salary,How much pay for overtime/year?
CEC,Community Engagement Cluster,Regional Services Centers,M,166787,0
CEC,Community Engagement Cluster,Community Engagement Cluster,F,107346,0
CEC,Community Engagement Cluster,Gilchrist Center,F,92059.96,0
CEC,Community Engagement Cluster,Business Management,F,90848,0
CEC,Community Engagement Cluster,Regional Services Centers,F,186735.34,0
CEC,Community Engagement Cluster,Wheaton Urban District,M,109761,0
CEC,Community Engagement Cluster,Regional Services Centers,M,171648,0
CEC,Community Engagement Cluster,Regional Services Centers,M,168282,0
CEC,Community Engagement Cluster,Wheaton Urban District,M,50537.37,3528.86
CEC,Community Engagement Cluster,Wheaton Urban District,M,64459.66,5806.98
CEC,Community Engagement Cluster,Wheaton Urban District,M,62953.84,1878.18
CEC,Community Engagement Cluster,Community Partnerships,F,96609.19,0
CEC,Community Engagement Cluster,Regional Services Centers,M,185494.05,0
CEC,Community Engagement Cluster,Wheaton Urban District,M,54407,115.12
CEC,Community Engagement Cluster,Wheaton Urban District,F,104680,0
CEC,Community Engagement Cluster,Silver Spring Urban District,M,52990.74,11280.23
CEC,Community Engagement Cluster,Silver Spring Urban District,F,58481.92,0
CEC,Community Engagement Cluster,Community Partnerships,F,109761,0
CEC,Community Engagement Cluster,Wheaton Urban District,M,54407,0
CEC,Community Engagement Cluster,Community Partnerships,M,176837,0
CEC,Community Engagement Cluster,Silver Spring Urban District,M,75290,6797.56
CEC,Community Engagement Cluster,Silver Spring Urban District,M,48169.32,12731.91
CEC,Community Engagement Cluster,Silver Spring Urban District,M,76884.55,1205.96
CEC,Community Engagement Cluster,Silver Spring Urban District,M,109761,0
CEC,Community Engagement Cluster,Community Partnerships,F,95245.89,0
CEC,Community Engagement Cluster,Silver Spring Urban District,M,48414.6,10810.66
CEC,Community Engagement Cluster,Silver Spring Urban District,M,54407,1628.41
CEC,Community Engagement Cluster,Wheaton Urban District,M,54407,1725.75
CEC,Community Engagement Cluster,Silver Spring Urban District,M,60142.19,0
CEC,Community Engagement Cluster,Silver Spring Urban District,F,54407,1777.44
CEC,Community Engagement Cluster,Silver Spring Urban District,M,75290,0
CEC,Community Engagement Cluster,Wheaton Urban District,M,65211.82,88.88
CEC,Community Engagement Cluster,Silver Spring Urban District,M,75290,7217.86
CEC,Community Engagement Cluster,Silver Spring Urban District,M,44965.96,11774.66
CEC,Community Engagement Cluster,Gilchrist Center,F,52893.21,334.72
CEC,Community Engagement Cluster,Silver Spring Urban District,M,41975.18,3557.89
CEC,Community Engagement Cluster,Silver Spring Urban District,M,46540.16,13163.22
CEC,Community Engagement Cluster,Wheaton Urban District,M,53797.05,549.92
CEC,Community Engagement Cluster,Silver Spring Urban District,F,41955.34,2332.8
CEC,Community Engagement Cluster,Silver Spring Urban District,M,45187.48,4752.9
CEC,Community Engagement Cluster,Silver Spring Urban District,M,48432.43,20456.4
CEC,Community Engagement Cluster,Silver Spring Urban District,M,41051.52,758.88
CEC,Community Engagement Cluster,Silver Spring Urban District,M,44965.96,2394.74
CEC,Community Engagement Cluster,Silver Spring Urban District,M,43445.3,3209.99
CEC,Community Engagement Cluster,Wheaton Urban District,M,40797.75,705
CEC,Community Engagement Cluster,Community Partnerships,F,150000,0
CEC,Community Engagement Cluster,Wheaton Urban District,M,47862.31,326.16
CEC,Community Engagement Cluster,Silver Spring Urban District,M,43659.33,13673.47
CEC,Community Engagement Cluster,Silver Spring Urban District,M,43659.35,1605.52
CEC,Community Engagement Cluster,Silver Spring Urban District,M,41975.18,3260.49
CEC,Community Engagement Cluster,Silver Spring Urban District,F,41975.18,13175.05
CEC,Community Engagement Cluster,Silver Spring Urban District,M,41975.19,490.01
CEC,Community Engagement Cluster,Wheaton Urban District,M,45048.61,3524.02
CEC,Community Engagement Cluster,Wheaton Urban District,F,43659.99,397.2
CEC,Community Engagement Cluster,Gilchrist Center,F,44801.26,0
CEC,Community Engagement Cluster,Community Engagement Cluster,M,126584,0
CEC,Community Engagement Cluster,Community Engagement Cluster,M,61757.13,0
CEC,Community Engagement Cluster,Wheaton Urban District,M,51593.7,1283.31
CEC,Community Engagement Cluster,Silver Spring Urban District,M,42183.57,13808.57
CEC,Community Engagement Cluster,Gilchrist Center,M,45941.1,437.49
CEC,Community Engagement Cluster,Silver Spring Urban District,F,69908.06,15432.97
CEC,Community Engagement Cluster,Wheaton Urban District,M,42181.68,2026.73
CEC,Community Engagement Cluster,Commission for Women,F,161280.48,0
CEC,Community Engagement Cluster,Gilchrist Center,F,22193.77,31.32
CEC,Community Engagement Cluster,Regional Services Centers,F,161200,0
CEC,Community Engagement Cluster,Wheaton Urban District,M,41695.09,1718.05
CEC,Community Engagement Cluster,Wheaton Urban District,M,44554.18,57.26
CEC,Community Engagement Cluster,Silver Spring Urban District,M,38047.73,6916.7
CEC,Community Engagement Cluster,Silver Spring Urban District,M,36580.26,1775.9
CEC,Community Engagement Cluster,Silver Spring Urban District,F,38047.73,1508.88
CEC,Community Engagement Cluster,Silver Spring Urban District,M,38047.73,1842.35
CEC,Community Engagement Cluster,Wheaton Urban District,M,40296.37,3394.15
CEC,Community Engagement Cluster,Bethesda Urban District,M,80822.67,0
CEC,Community Engagement Cluster,Council Members and Staff,M,95092.5,0
CEC,Community Engagement Cluster,Silver Spring Urban District,M,35342.58,7483.79
CEC,Community Engagement Cluster,Gilchrist Center,F,36868.73,0
CEC,Community Engagement Cluster,Gilchrist Center,M,22970.55,64.81
CEC,Community Engagement Cluster,Wheaton Urban District,M,42183.56,1053.78
CEC,Community Engagement Cluster,Gilchrist Center,F,34542.5,0
CEC,Community Engagement Cluster,Gilchrist Center,F,20718.12,160.75
CEC,Community Engagement Cluster,Wheaton Urban District,M,39468.5,765.53
CEC,Community Engagement Cluster,Community Partnerships,F,95092.5,0
CEC,Community Engagement Cluster,Community Engagement Cluster,M,102250,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,187233,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,78902,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,78902,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,144734.41,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,172376,0
CEX,Offices of the County Executive,County Executive,M,201004.79,0
CEX,Offices of the County Executive,County Executive's Office,M,122300,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,83100,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,M,303091,0
CEX,Offices of the County Executive,County Executive's Office,F,90848,0
CEX,Offices of the County Executive,County Executive's Office,F,122300,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,35926,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,35926,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,78902,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,134959.5,0
CEX,Offices of the County Executive,County Executive's Office,F,70000,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,M,159432,0
CEX,Offices of the County Executive,County Executive's Office,F,155000,0
CEX,Offices of the County Executive,County Executive's Office,M,155000,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,170687,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,86669,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,M,109761,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,M,170000,0
CEX,Offices of the County Executive,CountyStat,M,167214.07,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,117578.84,0
CEX,Offices of the County Executive,CountyStat,M,94576.24,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,170687,0
CEX,Offices of the County Executive,Internal Audit,M,167345,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,M,176800,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,M,142608.09,0
CEX,Offices of the County Executive,CountyStat,M,85089.43,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,67204.5,0
CEX,Offices of the County Executive,CountyStat,M,58845.73,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,16731.53,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,M,84456,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,M,280000,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,62372.5,0
CEX,Offices of the County Executive,CountyStat,F,82000,0
CEX,Offices of the County Executive,County Executive's Office,F,70000,0
CEX,Offices of the County Executive,CountyStat,F,76687.5,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,165000,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,M,165000,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,165000,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,M,71575,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,M,164622.5,0
COR,Correction and Rehabilitation,MSD Fiscal Services,F,115647.75,0
COR,Correction and Rehabilitation,MSD Fiscal Services,F,99852,0
COR,Correction and Rehabilitation,DS Health Services,F,71852,752.82
COR,Correction and Rehabilitation,MSD Fiscal Services,F,71852,268.84
COR,Correction and Rehabilitation,DO Director,F,78902,222.6
COR,Correction and Rehabilitation,MSD Fiscal Services,F,104610.55,0
COR,Correction and Rehabilitation,DS Food Services,F,71852,0
COR,Correction and Rehabilitation,MSD Human Resources,F,116159,0
COR,Correction and Rehabilitation,PTS Assessment,F,115099,0
COR,Correction and Rehabilitation,DS MCCF Custody and Security,M,144751,0
COR,Correction and Rehabilitation,DS Health Services,M,167345,0
COR,Correction and Rehabilitation,MSD Fiscal Services,F,71852,0
COR,Correction and Rehabilitation,DS Detention Services,F,165578.56,0
COR,Correction and Rehabilitation,MSD Management Services Division,F,167345,0
COR,Correction and Rehabilitation,DO Director,M,206000,0
COR,Correction and Rehabilitation,PTS Pre-Trial Services,F,206000,0
COR,Correction and Rehabilitation,MSD Information Technology,M,113681.54,0
COR,Correction and Rehabilitation,DS Intake Classification and Re-Entry Services,M,102378.52,0
COR,Correction and Rehabilitation,MSD Information Technology,F,138790,0
COR,Correction and Rehabilitation,DS Facility Operations Management,M,62488,0
COR,Correction and Rehabilitation,PTS Supervision,M,104680,2618.41
COR,Correction and Rehabilitation,DS MCCF Case Managers Unit 2,F,93350.01,0
COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,M,85567,11648.63
COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,M,83684,0
COR,Correction and Rehabilitation,DS MCCF Educational Services,F,99852,0
COR,Correction and Rehabilitation,DS MCCF Facilities Maintenance,M,66552.91,15293.57
COR,Correction and Rehabilitation,PRRS Reentry Services and Programs,M,144751,0
COR,Correction and Rehabilitation,DS Programs and Services,F,144751,0
COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,F,107643.16,12355.51
COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,M,70159,26668.92
COR,Correction and Rehabilitation,PTS Supervision,M,85567,10772.58
COR,Correction and Rehabilitation,MSD Information Technology,M,126584,0
COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,M,77175,5436.45
COR,Correction and Rehabilitation,DS MCDC Intake/Release Operations,M,118412.56,24385.62
COR,Correction and Rehabilitation,MSD Training and Staff Development,F,99852,971.26
COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,M,107648,24363.33
COR,Correction and Rehabilitation,DS MCDC Custody and Security,M,107648,13833.46
COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,M,118414,821.18
COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,M,107648,14696.91
COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,M,77175,23682.64
COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,M,95707,0
COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,M,75161,15965.7
COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,F,85567,39124.81
COR,Correction and Rehabilitation,DS Health Services,F,102377,0
COR,Correction and Rehabilitation,DS Food Services,M,58206.75,15792.31
COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,M,97860,52638.93
COR,Correction and Rehabilitation,PRRS Facility and Security,M,72036.04,20878.38
COR,Correction and Rehabilitation,DS Facility Operations Management,F,141566,0
COR,Correction and Rehabilitation,DS Food Services,F,74063.77,7901.61
COR,Correction and Rehabilitation,DS MCDC Custody and Security,F,91351,22471.83
COR,Correction and Rehabilitation,DS MCCF Case Managers Unit 3,F,109761,0
COR,Correction and Rehabilitation,DS MCDC Central Processing Unit,M,77792,8368.49
COR,Correction and Rehabilitation,PRRS Reentry Services and Programs,M,104680,2813.85
COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,M,107648,17027.61
COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,M,69607,1091.2
COR,Correction and Rehabilitation,DS MCDC Custody and Security,M,85567,43381.76
COR,Correction and Rehabilitation,DS Inmate Records,M,75290,16764.39
COR,Correction and Rehabilitation,DS MCDC Custody and Security,M,105279,157.2
COR,Correction and Rehabilitation,PTS Alternative Community Services,F,95236,1410.58
COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,F,91351,36928.28
COR,Correction and Rehabilitation,DS Food Services,M,69139.07,18077.64
COR,Correction and Rehabilitation,PTS ACS Work Crew,M,85567,27068.02
COR,Correction and Rehabilitation,DS MCDC Custody and Security,M,85567,11527.53
COR,Correction and Rehabilitation,DS Health Services,F,104680,0
COR,Correction and Rehabilitation,MSD Human Resources,F,90848,0
COR,Correction and Rehabilitation,DS MCDC Central Processing Unit,M,85567,6173.14
COR,Correction and Rehabilitation,DS Health Services,F,78902,19295.59
COR,Correction and Rehabilitation,DS Health Services,F,104680,41972.41
COR,Correction and Rehabilitation,DS Inmate Records,F,75290,18506.06
COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,M,77175,13913.46
COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,F,97860,31515.09
COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,M,85567,26862.46
COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,F,85567,34536.59
COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,F,82673,13470.51
COR,Correction and Rehabilitation,DS MCCF Facilities Maintenance,M,77175,16129.27
COR,Correction and Rehabilitation,DS Inmate Records,M,66796.72,13499.24
COR,Correction and Rehabilitation,DS Inmate Records,F,99265.3,32696.46
COR,Correction and Rehabilitation,DS MCDC Custody and Security,M,79879,15002.56
COR,Correction and Rehabilitation,PTS Supervision,F,82014.66,111.78
COR,Correction and Rehabilitation,DS MCDC Custody and Security,M,63278,13497.29
COR,Correction and Rehabilitation,DS MCCF Case Managers Unit 3,M,95236,3883.54
COR,Correction and Rehabilitation,DS MCDC Custody and Security,M,85277,28187.71
COR,Correction and Rehabilitation,DS MCDC Custody and Security,M,77792,14184.28
COR,Correction and Rehabilitation,PTS Pre-Trial Services,F,90848,1409.63
COR,Correction and Rehabilitation,PRRS Assessment and Quality Services,M,113118.71,0
COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,M,97086.42,32633.02
COR,Correction and Rehabilitation,PRRS Facility and Security,M,95236,11865.27
COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,M,85567,27309.56
COR,Correction and Rehabilitation,PRRS Facility and Security,M,84611.49,14254.94
COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,F,67787,5247.7
COR,Correction and Rehabilitation,DS Intake Classification and Re-Entry Services,F,95236,0
COR,Correction and Rehabilitation,DS MCDC Custody and Security,M,85567,37586.91
COR,Correction and Rehabilitation,DS Health Services,F,104680,55549.74
COR,Correction and Rehabilitation,PTS Intervention Program for Substance Abusers,F,65464,47.56
COR,Correction and Rehabilitation,DS MCDC Custody and Security,M,77792,6085.64
COR,Correction and Rehabilitation,DS MCCF Case Managers Unit 1,F,109761,0
COR,Correction and Rehabilitation,DS Inmate Records,F,62354.52,6997.4
COR,Correction and Rehabilitation,DS MCDC Custody and Security,M,74566,10804.02
COR,Correction and Rehabilitation,DS Health Services,F,78902,5597.38
